Mjerno mjesto	Datum	Vrijeme	OBIS	Brojilo	Konstanta	Vrijednost snaga	Vrijednost energija	Status
 0497330635	03.08.2025	18:00:00	LP: A-_T0	69051391	160	203,9424	50,9856	0
 0497330635	03.08.2025	18:15:00	LP: A-_T0	69051391	160	195,8336	48,9584	0
 0497330635	03.08.2025	18:30:00	LP: A-_T0	69051391	160	146,8288	36,7072	0
 0497330635	03.08.2025	18:45:00	LP: A-_T0	69051391	160	102,5088	25,6272	0
 0497330635	03.08.2025	19:00:00	LP: A-_T0	69051391	160	85,9584	21,4896	0
 0497330635	03.08.2025	19:15:00	LP: A-_T0	69051391	160	52,6848	13,1712	0
 0497330635	03.08.2025	19:30:00	LP: A-_T0	69051391	160	30,3616	7,5904	0
 0497330635	03.08.2025	19:45:00	LP: A-_T0	69051391	160	15,392	3,848	0
 0497330635	03.08.2025	20:00:00	LP: A-_T0	69051391	160	12,6976	3,1744	0
 0497330635	03.08.2025	20:15:00	LP: A-_T0	69051391	160	6,9632	1,7408	0
 0497330635	03.08.2025	20:30:00	LP: A-_T0	69051391	160	1,3312	0,3328	0
 0497330635	03.08.2025	20:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	21:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	21:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	21:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	21:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	22:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	22:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	22:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	22:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	23:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	23:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	23:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	23:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	0:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	0:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	0:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	0:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	1:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	1:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	1:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	1:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	2:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	2:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	2:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	2:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	3:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	3:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	3:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	3:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	4:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	4:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	4:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	04.08.2025	4:45:00	LP: A-_T0	69051391	160	0	0	0
